id,created_at,favorite_count,retweet_count,text
1506714116274020361,2022-03-23 19:26:53+00:00,6,1,"Every day is a reason to celebrate #WomensHistoryMonth
Women do remarkable things for themselves and others. Like Eliana, owner of Angelheaded Ranch. All the horses she rescues, breeds, and cares for are part of her inspirational story. The #MicIsYours https://t.co/iHCR2Z4SqS"
1506707588800462864,2022-03-23 19:00:57+00:00,13,1,"Our #WomensHistoryMonth series continues. Meet Eliana Pires, the owner of Angelheaded Ranch. With her love of horses, she is reaching new limits and inspiring others. #MicIsYours https://t.co/Dxp7usYub5"
1506027909902913551,2022-03-21 22:00:09+00:00,63,8,"Better to have the stinger than be stung. #KiaStinger #MovementThatInspires  

https://t.co/xn49GbzylK https://t.co/JgraVNcOHp"
1505212604272324611,2022-03-19 16:00:25+00:00,59,5,"“Always add to the scenery” is our philosophy. #KiaSportage #XPro #MovementThatInspires

https://t.co/7ivoq9PaZr https://t.co/vHYdWOoXjc"
1505167302660173824,2022-03-19 13:00:24+00:00,39,7,"Bring on the backroads. #KiaSportage #XPro #MovementThatInspires 

https://t.co/7ivoq9PaZr https://t.co/o1euyXkkub"
1504960471589302272,2022-03-18 23:18:31+00:00,14,0,Spring Cleaning means it’s time to wash away the Winter. 🧽 🧼 ✨ What’s the strangest thing you’ve found under the seats?
1504850262141374466,2022-03-18 16:00:35+00:00,30,2,"The countdown to out-of-town starts now. #KiaSportage #XPro #MovementThatInspires  

https://t.co/7ivoq9PaZr https://t.co/n0IEXLyGs2"
1504548329740460039,2022-03-17 20:00:49+00:00,7,0,"During  #WomensHistoryMonth we celebrate  the names and paths of women you’ll want to remember past this month.
Sam is one of those. A woman whose artistic path inspires other women to make history. #MicIsYours. https://t.co/IgHYqMBXFp"
1504540600330293248,2022-03-17 19:30:06+00:00,8,0,"Women are paving their own paths. Sam is an artist who doesn’t believe in the adage “do not touch the artwork”. Her art is a visual experience and a physical one as well.

#WomensHistoryMonth celebrates the paths of women that, like Sam, make history every day. #MicIsYours https://t.co/mgAivmxhOo"
1504170766442582023,2022-03-16 19:00:31+00:00,59,12,"The power to outrun the rain. #KiaK5 #UGC #MovementThatInspires

 IG:@_dafnyy https://t.co/04JYpaJJsL"
1503778187435778056,2022-03-15 17:00:33+00:00,17,1,"Need another reason to love the 2022 Kia Carnival MPV? Learn more about why it was named a Best New Car by @AutoTrader_com. #KiaCarnivalMVP

https://t.co/BESUr9Wn0Q https://t.co/92EO36LYH8"
1503491190771048449,2022-03-14 22:00:08+00:00,33,5,"Dressed for any occasion, formal or otherwise. #KiaTelluride #NightfallEdition #MovementThatInspires

https://t.co/TcK7yNVimP https://t.co/6Ya27WN1Ic"
1502736228504027138,2022-03-12 20:00:11+00:00,69,8,"Taking the future, farther. #KiaEV6 #MovementThatInspires

https://t.co/mMNkq7ZQmt https://t.co/AEMQUQ351b"
1502442792890511362,2022-03-12 00:34:10+00:00,9,3,The weekend is here.☀️Which way is your Kia pointed?
1502336077641797635,2022-03-11 17:30:07+00:00,24,2,"A weekend road trip is out there waiting for you. #KiaSorento #Hybrid #MovementThatInspires

https://t.co/1cfscyOBeC https://t.co/alXwGaLzUp"
1501985003852513285,2022-03-10 18:15:05+00:00,29,3,"When all-electric becomes all-encompassing. #KiaNiro #EV #MovementThatInspires

https://t.co/QWkcvIlRsD https://t.co/G8ziyiqgnP"
1501664258723090439,2022-03-09 21:00:33+00:00,13,0,"Everywhere women are doing remarkable things. In celebration of #WomensHistoryMonth we’re sharing stories and highlighting the voices of some women that are paving their own paths. This month, women #TheMicIsYours https://t.co/VXFdGQWGLC"
1501635673626923015,2022-03-09 19:06:58+00:00,11,2,"Watch as Brian Peterson, artist and former Kia Senior Automotive Designer, uses the power of art and human connection to empower his homeless neighbors.
#Kia #MovementThatInspires https://t.co/EAVGiHSD4M"
1501286759073783812,2022-03-08 20:00:30+00:00,16,4,"How is your organization celebrating #InternationalWomensDay on March 8th? @WomeninMFG &amp; Kia are honoring this day by celebrating women in manufacturing all week! 
Find out how to participate in WiM’s newest blog post. https://t.co/adHDVvYoWR 

#WiMWeek #womeninmanufacturing #IWD https://t.co/8RpzqGmyqS"
1501256564073799689,2022-03-08 18:00:31+00:00,51,4,"We are humbled to be named Car of the Year in the prestigious 2022 European Car of the Year (COTY) awards.  

A first of many more to come.

https://t.co/iNgdHS1G8l

#Kia #MovementThatInspires #KiaSustainability #KiaEV6 https://t.co/tPUAVbdrnr"
1500969619410067459,2022-03-07 23:00:18+00:00,28,2,"Fearless now comes in fun-size.
 #KiaSeltos #MovementThatInspires

https://t.co/Zcp0esiiO0 https://t.co/pRm6aDMaRD"
1500244791627591680,2022-03-05 23:00:06+00:00,51,9,"We’re honored to share that not one, but six Kia vehicles were recognized by the @CARandDRIVER 2022 Editors’ Choice Awards. See full details here: https://t.co/z0QOvp0PCA https://t.co/ngCP03QO51"
1499895217670950915,2022-03-04 23:51:01+00:00,10,0,March means “windows down” season is almost here. Where will you go in your Kia to breathe in the fresh air this spring? ⛱ 🏜 ⛰ #FridayFeeling
1499803138081046529,2022-03-04 17:45:07+00:00,45,6,It’s safe to say #NationalSafetyDay was made with us in mind. Meet some of our 2021 IIHS Top Safety Picks #KiaForte #KiaTelluride #KiaSorento #KiaCarnival #KiaSeltos #MovementThatInspires https://t.co/0ygkuEqrV4
