,screenname,no_of_likes,no_of_followers,no_of_following,tweet_count,reach_score,popularity_score,pagerank,inf
0,spectatorindex,1.0,2206758.0,0.0,10557.0,0.04224831203326152,0.012905986259115227,1.0,0.5017118288383051
1,carolecadwalla,15869.0,698387.0,5450.0,21309.0,0.013309453594408504,0.045541813581015805,1.0,0.5019831852491077
2,christogrozev,26250.0,376069.0,1086.0,48763.0,0.007231307105446418,0.09192710759769906,0.8000000000000006,0.47485279298870436
5,nytimes,18843.0,52308592.0,873.0,466387.0,1.0,0.5948486393974018,0.6000000000000012,0.5871449056463017
6,ddknyt,1250.0,60500.0,2409.0,21435.0,0.0011734622688342894,0.027773554926759418,0.6000000000000012,0.42201891125435875
12,richimedhurst,12427.0,130184.0,668.0,11880.0,0.002538853529752903,0.02976210909340565,0.4000000000000018,0.413153842265504
13,jimsciutto,4713.0,544025.0,1176.0,37628.0,0.010440306327082597,0.05187159481553769,0.4000000000000018,0.4143195700849964
14,spriter99880,6349.0,35511.0,735.0,106745.0,0.0007277626223755215,0.13861399490969364,0.1999999999999693,0.39643543209760795
15,james_cline74,10.0,1.0,1.0,21.0,6.296953186511605e-05,0.0,0.1999999999999693,0.3814814848426976
19,guyverhofstadt,1773.0,467384.0,1616.0,7456.0,0.008966792518432017,0.01127664687103086,0.1999999999999693,0.38158824998583313
20,djrothkopf,35859.0,260870.0,7075.0,171169.0,0.0049146247655345535,0.25377604613641824,0.1999999999999693,0.4421673663547922
25,olgatokariuk,69354.0,336671.0,2043.0,16676.0,0.006459863432581586,0.10543382846942628,0.1999999999999693,0.3902536956129113
28,seanspicer,6424.0,447729.0,995.0,28225.0,0.00860293032367773,0.042441287386534715,0.1999999999999693,0.3829577591611014
32,jpeter1son,11889.0,27.0,40.0,713.0,6.27210182299471e-05,0.015411907786010974,0.1999999999999693,0.38168023498380577
34,ua_parliament,452.0,57359.0,1513.0,2409.0,0.0011305458756839598,0.0034695488850855984,0.1999999999999693,0.3814916556741977
42,ukiswitheu,96514.0,24299.0,2254.0,38201.0,0.0004843913078112251,0.16512110319394654,0.1999999999999693,0.40253582893718115
44,steveirons,13832.0,2045.0,4004.0,53953.0,2.5520438688503316e-05,0.08306565906716949,0.1999999999999693,0.38699070425604426
45,peterjukes,224372.0,120244.0,5624.0,279160.0,0.0022540951367162397,0.6172866901729626,0.1999999999999693,0.5140592254347429
47,mtatesmith,4063.0,3269.0,4568.0,555.0,3.8137284781695964e-05,0.005623611567451463,0.1999999999999693,0.38150816129489873
51,crosscrosslet,6269.0,582.0,1467.0,23021.0,4.605148824015318e-05,0.03587121230696803,0.1999999999999693,0.38254114099605446
53,cgtnamerica,10752.0,289998.0,2316.0,114025.0,0.005562423346686098,0.15293722445897104,0.1999999999999693,0.3996019655148223
55,bruce_haigh,196914.0,21825.0,1709.0,213226.0,0.0004475157076388484,0.5027891249871271,0.1999999999999693,0.5002601812925311
61,franakviacorka,6369.0,110776.0,3509.0,17172.0,0.002113532001377989,0.02882300151532241,0.1999999999999693,0.382169284386007
67,alexstubb,9665.0,410343.0,7130.0,47726.0,0.007770964022432523,0.07032272934576322,0.1999999999999693,0.385459898215502
68,gianfiorella,14081.0,6605.0,596.0,7917.0,0.00017784018061359279,0.026931300480097294,0.1999999999999693,0.38208284083228067
71,sunmor2901,135543.0,8794.0,9293.0,110179.0,5.343043156132342e-05,0.3012144647086805,0.1999999999999693,0.4627022548651543
73,anders_aslund,28931.0,192045.0,4022.0,35635.0,0.0036572987030474824,0.07911920045901029,0.1999999999999693,0.38649100033282713
75,nfergus,479.0,249340.0,850.0,5410.0,0.004813212085952149,0.007181843593226656,0.1999999999999693,0.38152493737219284
